municipio_cvegeo,total_camas,Nom_Ent,Nom_Mun,municipio_cvegeo,total_camas,Nom_Mun,Entidad,Total_camas
7004,76,Chiapas,Altamirano,7004,76,Altamirano,,
7005,0,Chiapas,Amatán,7005,0,Amatán,,
7006,0,Chiapas,Amatenango de la Frontera,7006,0,Amatenango de la Frontera,,
7007,0,Chiapas,Amatenango del Valle,7007,0,Amatenango del Valle,,
7008,23,Chiapas,Angel Albino Corzo,7008,23,Angel Albino Corzo,,
7009,33,Chiapas,Arriaga,7009,33,Arriaga,,
7010,0,Chiapas,Bejucal de Ocampo,7010,0,Bejucal de Ocampo,,
7011,0,Chiapas,Bella Vista,7011,0,Bella Vista,,
7012,12,Chiapas,Berriozábal,7012,12,Berriozábal,,
7013,28,Chiapas,Bochil,7013,28,Bochil,,
7014,0,Chiapas,El Bosque,7014,0,El Bosque,,
7015,0,Chiapas,Cacahoatán,7015,0,Cacahoatán,,
7016,0,Chiapas,Catazajá,7016,0,Catazajá,,
7017,12,Chiapas,Cintalapa,7017,12,Cintalapa,,
7018,0,Chiapas,Coapilla,7018,0,Coapilla,,
7019,231,Chiapas,Comitán de Domínguez,7019,231,Comitán de Domínguez,,
7020,0,Chiapas,La Concordia,7020,0,La Concordia,,
7021,0,Chiapas,Copainalá,7021,0,Copainalá,,
7022,11,Chiapas,Chalchihuitán,7022,11,Chalchihuitán,,
7023,10,Chiapas,Chamula,7023,10,Chamula,,
7024,0,Chiapas,Chanal,7024,0,Chanal,,
7025,0,Chiapas,Chapultenango,7025,0,Chapultenango,,
7026,0,Chiapas,Chenalhó,7026,0,Chenalhó,,
7027,17,Chiapas,Chiapa de Corzo,7027,17,Chiapa de Corzo,,
7028,0,Chiapas,Chiapilla,7028,0,Chiapilla,,
7029,0,Chiapas,Chicoasén,7029,0,Chicoasén,,
7030,0,Chiapas,Chicomuselo,7030,0,Chicomuselo,,
7031,0,Chiapas,Chilón,7031,0,Chilón,,
7032,0,Chiapas,Escuintla,7032,0,Escuintla,,
7033,0,Chiapas,Francisco León,7033,0,Francisco León,,
7034,41,Chiapas,Frontera Comalapa,7034,41,Frontera Comalapa,,
7035,0,Chiapas,Frontera Hidalgo,7035,0,Frontera Hidalgo,,
7036,0,Chiapas,La Grandeza,7036,0,La Grandeza,,
7037,0,Chiapas,Huehuetán,7037,0,Huehuetán,,
7038,0,Chiapas,Huixtán,7038,0,Huixtán,,
7039,0,Chiapas,Huitiupán,7039,0,Huitiupán,,
7040,43,Chiapas,Huixtla,7040,43,Huixtla,,
7041,0,Chiapas,La Independencia,7041,0,La Independencia,,
7042,0,Chiapas,Ixhuatán,7042,0,Ixhuatán,,
7043,0,Chiapas,Ixtacomitán,7043,0,Ixtacomitán,,
7044,0,Chiapas,Ixtapa,7044,0,Ixtapa,,
7045,0,Chiapas,Ixtapangajoya,7045,0,Ixtapangajoya,,
7046,0,Chiapas,Jiquipilas,7046,0,Jiquipilas,,
7047,0,Chiapas,Jitotol,7047,0,Jitotol,,
7048,0,Chiapas,Juárez,7048,0,Juárez,,
7049,19,Chiapas,Larráinzar,7049,19,Larráinzar,,
7050,0,Chiapas,La Libertad,7050,0,La Libertad,,
7051,42,Chiapas,Mapastepec,7051,42,Mapastepec,,
7052,25,Chiapas,Las Margaritas,7052,25,Las Margaritas,,
7053,0,Chiapas,Mazapa de Madero,7053,0,Mazapa de Madero,,
7054,0,Chiapas,Mazatán,7054,0,Mazatán,,
7055,0,Chiapas,Metapa,7055,0,Metapa,,
7056,0,Chiapas,Mitontic,7056,0,Mitontic,,
7057,46,Chiapas,Motozintla,7057,46,Motozintla,,
7058,0,Chiapas,Nicolás Ruíz,7058,0,Nicolás Ruíz,,
7059,95,Chiapas,Ocosingo,7059,95,Ocosingo,,
7060,0,Chiapas,Ocotepec,7060,0,Ocotepec,,
7061,47,Chiapas,Ocozocoautla de Espinosa,7061,47,Ocozocoautla de Espinosa,,
7062,12,Chiapas,Ostuacán,7062,12,Ostuacán,,
7063,0,Chiapas,Osumacinta,7063,0,Osumacinta,,
7064,17,Chiapas,Oxchuc,7064,17,Oxchuc,,
7065,64,Chiapas,Palenque,7065,64,Palenque,,
7066,0,Chiapas,Pantelhó,7066,0,Pantelhó,,
7067,0,Chiapas,Pantepec,7067,0,Pantepec,,
7068,60,Chiapas,Pichucalco,7068,60,Pichucalco,,
7069,49,Chiapas,Pijijiapan,7069,49,Pijijiapan,,
7070,13,Chiapas,El Porvenir,7070,13,El Porvenir,,
7071,0,Chiapas,Villa Comaltitlán,7071,0,Villa Comaltitlán,,
7072,0,Chiapas,Pueblo Nuevo Solistahuacán,7072,0,Pueblo Nuevo Solistahuacán,,
7073,0,Chiapas,Rayón,7073,0,Rayón,,
7074,50,Chiapas,Reforma,7074,50,Reforma,,
7075,17,Chiapas,Las Rosas,7075,17,Las Rosas,,
7076,0,Chiapas,Sabanilla,7076,0,Sabanilla,,
7077,17,Chiapas,Salto de Agua,7077,17,Salto de Agua,,
7078,218,Chiapas,San Cristóbal de las Casas,7078,218,San Cristóbal de las Casas,,
7079,0,Chiapas,San Fernando,7079,0,San Fernando,,
7080,0,Chiapas,Siltepec,7080,0,Siltepec,,
7081,16,Chiapas,Simojovel,7081,16,Simojovel,,
7082,0,Chiapas,Sitalá,7082,0,Sitalá,,
7083,0,Chiapas,Socoltenango,7083,0,Socoltenango,,
7084,0,Chiapas,Solosuchiapa,7084,0,Solosuchiapa,,
