delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32
0,0.00028138,2.32E-05,4.46E-06,2.71E-05,0.000279595,0.000456573,0.000175193,5.09E-05,0.000109756,4.37E-05,2.86E-05,6.40E-05,0.001106187,0.000419096,0.00014188,4.67E-05,6.34E-05,0.000196907,2.74E-05,0.00010113,0.000136228,4.88E-05,0.000280785,5.21E-05,0.000118977,1.31E-05,0.000129685,1.81E-05,0.000107377,2.71E-05,0.000902439
0.000189173,0,0.001007733,2.77E-05,0.000202558,5.03E-05,0.000991374,0.000212671,0.000316181,0.000513087,0.000683522,0.000349792,0.000257585,0.002339679,0.00107912,0.00091166,0.00024182,0.001008626,0.000383403,0.000645152,0.000461333,0.000178465,8.80E-05,0.000135931,0.002591017,0.00283135,4.97E-05,0.000182035,0.000116597,0.000488102,6.99E-05,0.000267698
2.83E-05,0.001159131,0,8.33E-06,2.65E-05,0.000103212,0.000274836,6.63E-05,4.10E-05,0.000125521,0.000106187,0.000208507,3.27E-05,0.000524093,0.000174301,0.000113028,4.58E-05,0.000120167,8.54E-05,0.000144557,5.53E-05,4.43E-05,5.06E-05,2.11E-05,5.35E-06,3.87E-06,1.10E-05,4.85E-05,2.41E-05,0.000112731,2.08E-05,2.74E-05
9.22E-06,0.000105294,2.08E-05,0,0.000294765,0.000149018,0.000292683,6.16E-05,2.23E-05,1.70E-05,4.73E-05,4.52E-05,2.44E-05,8.48E-05,0.000223676,9.76E-05,2.91E-05,1.61E-05,0.000110648,0.000115705,0.000141285,2.91E-05,0.002158834,3.99E-05,3.09E-05,4.85E-05,0.001085961,0.000280785,2.32E-05,0.00101279,0.001843248,2.26E-05
5.98E-05,0.002676086,0.000240631,0.000988697,0,0.001022011,0.002191553,0.000313206,0.000132362,5.68E-05,0.000208804,0.000256098,0.00016508,7.56E-05,0.002680547,0.000290006,0.000290006,0.000181737,0.000515467,0.001652885,0.000970553,0.000211184,0.003044616,0.000100833,0.000205235,0.000492861,0.002987507,0.000994349,0.000127603,0.002012493,0.000647531,7.29E-05
0.000246282,0.000671624,0.000127603,0.000286139,8.72E-05,0,0.000751338,0.00219185,5.15E-05,0.002190958,0.000343843,9.34E-05,0.000222487,0.000622844,0.000635039,0.000176086,0.000110351,0.000116895,8.33E-06,0.000111243,0.000267698,0.000203748,0.000101428,0.000197501,0.000113623,0.001479774,5.53E-05,0.000365259,4.88E-05,0.000331053,6.22E-05,0.000662701
0.002675491,0.003591612,0.000798037,0.000536585,0.002109756,0.001822427,0,0.001219215,0.000637418,4.97E-05,0.006369423,0.003490779,0.007936942,0.005400654,0.133416419,0.005481261,0.007511303,0.00046044,0.002584474,0.00505116,0.008778703,0.006969363,0.003717728,0.002157049,0.000873587,0.000851279,0.001182629,0.000226353,0.002678763,0.00852439,0.001720999,0.000789411
0.000219512,0.000352171,0.000103212,3.48E-05,7.29E-05,0.005257287,0.000461927,0,4.97E-05,0.003516657,0.000457168,6.69E-05,0.000100238,0.000463117,0.000610648,0.000172219,0.000107079,6.45E-05,0.004175788,7.61E-05,0.000233492,0.000192742,8.57E-05,0.000391434,0.000173409,0.000189768,5.12E-05,0.001779298,3.30E-05,0.000270375,4.28E-05,0.000596669
7.35E-05,0.000823319,6.22E-05,1.58E-05,4.46E-05,6.90E-05,0.000245687,6.66E-05,0,3.36E-05,0.000178168,0.000139798,5.23E-05,0.002121356,0.000220999,0.000751041,5.50E-05,0.000164783,8.80E-05,7.53E-05,6.10E-05,7.58E-05,5.65E-05,4.02E-05,0.000118679,0.000111541,1.61E-05,0.00017906,1.93E-05,0.00016508,2.26E-05,5.56E-05
0.000195717,0.001502677,0.000200773,9.70E-05,3.72E-05,0.008218025,0.000286139,0.002956871,3.18E-05,0,0.000183819,5.18E-05,7.11E-05,0.000415824,0.000265616,0.000112731,4.49E-05,0.000177275,0.000724866,4.07E-05,7.08E-05,0.000121356,5.65E-05,0.000123141,0.001693932,0.000367638,3.57E-05,0.000470553,1.58E-05,0.00013028,1.37E-05,6.37E-05
