,CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO,FECHA_TRANSACCION,ENTIDAD_FEDERATIVA,LAT,LONG
28,93201762.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,3689777.5739999996,RETIRO,FEMENINO,38.90555556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
29,93426997.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,325063.0355,COMPRA,SIN GENERO,65.53333333,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
30,93469252.0,1.0,BANCO,ACTIVAR,CIUDAD DE MÉXICO,49970.83051,COMPRA,MASCULINO,37.60555556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
31,93557015.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,87558.96588999999,VENTA,FEMENINO,57.61388889,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
32,93586188.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,4542969.308,VENTA,MASCULINO,88.8,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
33,93598837.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,188421.3886,COMPRA,FEMENINO,47.52222222,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
34,93601185.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,3094031.817,VENTA,MASCULINO,93.86388889,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
35,93654440.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,62376.652539999995,COMPRA,FEMENINO,51.78611111,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
36,93688539.0,1.0,BANCO,IMPULSA,CIUDAD DE MÉXICO,66747.99,VENTA,FEMENINO,61.64444444,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
37,93691103.0,1.0,BANCO,ACTIREN,CIUDAD DE MÉXICO,1332764.367,COMPRA,MASCULINO,63.525,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
38,93727980.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,2136328.38,"DEP, TRASPASO ENTRE CONTRATOS                                                                       ",FEMENINO,44.13888889,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
39,93755577.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,427458.7878,RETIRO,MASCULINO,49.46388889,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
40,93755882.0,1.0,BANCO,ACTIGOB,CIUDAD DE MÉXICO,40166.778,COMPRA,MASCULINO,44.93333333,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
41,93757763.0,1.0,BANCO,ACTICRE,CIUDAD DE MÉXICO,1186958.538,VENTA,MASCULINO,65.95833333,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
42,93785855.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,183905.11,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,48.48611111,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
43,93800365.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,556627.2116,RETIRO,MASCULINO,47.53055556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
