NombreINEGI,NombreSSA,Estado,beta,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32
Puebla,PUEBLA,21,0.05,6.50433467464708E-08,2.14461774618727E-06,5.40556474173099E-08,1.23436989071314E-07,5.01217684837912E-07,5.14800947666176E-08,8.33825889364546E-06,2.12891847942641E-07,1.49783702971428E-07,2.18863227402388E-08,5.77181433278263E-07,7.1753718162693E-07,2.76694287065283E-07,5.62687779408206E-07,3.77175707659138E-05,1.23712934445032E-06,6.92611395645559E-07,4.95297605651924E-08,1.16991606455416E-07,1.03497345039462E-06,0,6.20157622609052E-07,2.69952317418601E-07,1.36845498257581E-07,2.28474616207323E-07,8.42354272340631E-08,6.39970498768255E-08,3.0892156534992E-07,4.1049203439324E-06,1.13531635872766E-05,1.34791149855803E-07,4.79691373133079E-08
Queretaro,QUERETARO,22,0.05,1.57031962870307E-07,4.73469554610544E-07,3.63718568165935E-08,1.53348243894248E-08,5.19376956089876E-08,1.65762890627256E-07,8.42689348749977E-07,2.56478943444226E-07,1.41028065544497E-08,6.29597701227333E-08,2.11214741571031E-06,1.83605688628821E-07,3.382676277442E-07,2.03592503666243E-06,3.92628843590804E-06,1.66420722299946E-07,7.97885562688423E-08,1.38228536091254E-08,2.80868033748084E-07,2.56609949115019E-07,2.83936335409999E-07,0,7.03575826517127E-08,3.40609397167973E-07,2.29659209125625E-08,1.22439343590748E-08,1.40921286519194E-08,3.9985858187606E-07,1.26934796422262E-07,1.27092526582335E-07,2.90627346588771E-08,2.50401616582658E-08
Quintana Roo,QUINTANA ROO,23,0.05,5.64688459627255E-08,9.43395036180393E-08,8.17157080477568E-08,6.78622049234613E-07,3.10323551058003E-07,6.68570994815612E-08,1.16851806633189E-06,2.01138388563462E-08,3.91615795021786E-08,5.20825424966504E-08,1.41432953425563E-07,1.35037361645037E-07,2.87789718792535E-07,6.62851579508884E-07,2.60606683233505E-07,5.57843719676228E-08,2.69545645377945E-08,3.09635596235183E-08,5.28655083139212E-07,2.15675426129846E-07,9.48360069902759E-08,4.48529589404669E-08,0,1.20104462722942E-08,5.59387416405015E-09,1.93421373653796E-08,7.58270479819342E-07,2.58485403623515E-07,1.81374344917295E-08,6.0578614124982E-07,1.33863075596688E-06,2.33147892471198E-08
San Luis Potosi,SAN LUIS POTOSÃ,24,0.05,3.98499156246802E-07,1.67002539583462E-07,4.14128762344791E-08,2.34050593078352E-08,2.3916360790152E-08,5.20652255191778E-07,2.41674324342919E-07,7.27802892902027E-07,8.73384174174599E-08,2.50979204624271E-07,5.41305258520047E-08,2.78161066490926E-07,1.07522802765899E-06,4.02396117647033E-07,6.53015239124021E-07,4.55525857573451E-08,7.62011006337648E-08,3.92632516127115E-07,7.51886653922028E-06,2.76558367492304E-08,8.88264480977873E-08,5.03204829560915E-07,2.64554424646479E-08,0,1.19506777293238E-07,1.42345578424868E-07,9.57780736640704E-08,2.64467282214657E-06,1.01563320044463E-07,2.17829048571905E-08,3.94294229914526E-08,9.08810572203522E-07
Sinaloa,SINALOA,25,0.05,8.82277567610742E-08,1.09826490172996E-05,1.91728738777007E-06,3.33379574650603E-08,3.26754173947944E-07,4.39113616105214E-07,8.86859154264722E-07,3.10492080268493E-07,3.1475260907798E-07,4.86789462021409E-07,1.37689727913008E-06,8.02246435221595E-07,4.18604270815816E-08,1.43788444835333E-06,1.32950719258679E-07,2.7713483861617E-07,2.8844501799019E-07,1.41822931727808E-06,2.02324279375949E-07,2.20219233699861E-07,1.43672688105832E-07,3.61124904808845E-08,1.44736604244654E-08,6.18948395692148E-08,0,1.52333295233662E-05,3.37956513191219E-08,1.31563562272981E-07,1.50648127049729E-08,4.63552868560381E-07,1.143856110527E-07,1.16162617707995E-07
Sonora,SONORA,26,0.05,5.88017082445366E-08,5.97682608630435E-06,3.35010235613568E-07,2.51349364575341E-08,2.25799033904577E-08,1.20467043407086E-06,8.23304806389358E-07,4.00640984430958E-07,5.75979616717061E-08,7.47825328758297E-07,6.70111728243921E-07,6.58535987015125E-08,5.29106315935332E-08,2.24181553078907E-07,2.97557611984874E-07,8.5086456811822E-07,9.54926550036186E-08,1.56865697512841E-07,3.16081440062819E-07,1.68202171440974E-07,4.5282628513109E-08,1.28307043762829E-08,2.18289835980713E-08,1.5423602053673E-07,4.60311729934912E-06,0,2.73439707812016E-08,5.92413580695556E-08,4.56009848509843E-08,4.56094525083552E-07,3.11434023992082E-08,6.61708175708056E-08
Tabasco,TABASCO,27,0.05,3.66220339757891E-08,2.41700191621688E-07,7.84825566939331E-08,7.32729424697854E-07,2.29607353050466E-06,4.62332723393343E-07,1.38912875346344E-06,1.93020593963376E-07,3.05977173140019E-07,6.46153237418298E-08,4.81139664931593E-08,8.19861224372638E-08,2.4818305343657E-08,3.25007576190121E-08,2.69729856287817E-06,1.70289183257404E-07,5.31843014408277E-08,1.58304560966354E-08,3.82659940028217E-07,1.08743229762663E-08,8.59031305192596E-08,4.94606084057565E-08,6.12527632219657E-07,1.5174477935934E-07,3.61443838432308E-08,6.78130475373799E-08,0,1.02790791415978E-06,1.35139118543275E-07,2.37758281527969E-06,9.84579752236083E-07,2.35664433820516E-08
Tamaulipas,TAMAULIPAS,28,0.05,8.98675375145105E-08,4.71921255937375E-07,1.2638580737321E-08,2.80155914900201E-07,3.54962558861787E-07,6.86078399526184E-07,5.2396807942154E-08,4.37782724646488E-06,1.94571986098993E-07,7.9381663551048E-08,3.28958751057558E-07,3.19810567592947E-08,2.38704888728825E-07,1.69690564095232E-06,8.71415863150892E-09,1.25626918350755E-07,7.59861892638498E-08,4.97598090512882E-08,1.81236011215639E-06,2.94167368626973E-08,1.38434440286503E-07,3.04395318063679E-07,3.46185808424351E-07,9.32577297211445E-07,6.68755399677387E-08,4.53980166649859E-08,3.20578352147897E-07,0,3.7508477342112E-08,2.46617586755955E-07,8.28257524689582E-08,1.26111966623394E-07
Tlaxcala,TLAXCALA,29,0.05,5.02698729150682E-08,7.83746134747284E-08,2.86180773285151E-08,2.44387314791975E-08,1.06974742954607E-07,5.74053263483894E-08,5.25938385718997E-06,9.22038889349707E-08,4.84968362530519E-09,1.25092228048609E-08,2.78970318293258E-08,4.67747390057403E-08,1.19526213140417E-06,1.77187892174015E-07,6.06189069475034E-07,4.97779897260868E-08,1.21479346040704E-07,3.8952798720954E-09,9.27096627188731E-09,4.54540228086421E-08,2.48849967055407E-06,2.21558917391585E-07,3.27517701972958E-08,2.73439707812016E-08,1.12986095287297E-08,3.39435902274244E-08,5.79167650899748E-08,4.70560897564678E-08,0,3.54640652836699E-08,3.05642539196436E-08,1.68501632839707E-08
Veracruz de Ignacio de la Llave,VERACRUZ,30,0.05,7.05140327722483E-08,5.39435695496548E-06,7.91254011006804E-07,3.41444864651749E-06,1.33997130899126E-06,3.56003371098156E-05,2.32288458777511E-05,1.17770738142938E-06,1.83581296838904E-07,4.44216250075075E-08,7.16334265900117E-07,2.04998549574968E-06,2.4719163318047E-06,8.31018705881733E-07,7.48850930953505E-06,6.51549800206774E-07,3.04562194999459E-07,2.839966883287E-08,2.52995156739166E-06,5.6398065571151E-06,1.70063778388462E-05,4.57872357060999E-07,3.18205694262383E-06,3.39670810787126E-07,1.91661282193235E-07,2.01405550600388E-06,2.64537061109186E-06,1.55177919516603E-05,7.12942112412358E-07,0,6.71288763087221E-07,3.64713057577689E-07
Yucatan,YUCATAN,31,0.05,2.13882472665745E-08,1.00960005455045E-07,3.3943908822135E-08,5.54597095828903E-07,5.37064828378634E-07,1.19792454128112E-07,2.0866401914142E-07,7.80981207546719E-08,3.14155763843759E-09,1.22975839639505E-08,2.34421870808081E-07,5.91836607056648E-08,1.88104476674927E-08,9.2344327230373E-08,2.64918420019535E-07,1.26596595843101E-08,7.47153821911593E-09,3.86842747307593E-09,1.58312743546511E-07,2.35406349728559E-07,6.18499564681999E-08,2.71877195195947E-08,3.06070171098534E-06,4.32009330167219E-08,5.26077282900605E-08,2.36417069307858E-08,2.4745785110606E-07,7.09281305673399E-08,1.76226328906053E-08,2.34633994115506E-07,0,4.00735486793105E-09
Zacatecas,ZACATECAS,32,0.05,2.48593981685935E-06,9.96716595413602E-07,4.00681472498825E-08,1.61547388615884E-07,4.9369011398252E-08,8.99616312494112E-07,1.80200425810563E-07,2.8694987469489E-07,3.09635596235183E-08,2.18890215993225E-06,4.07386916023042E-07,1.5227505254637E-08,3.97520341982177E-08,1.72851092568301E-06,1.1718300281887E-07,1.39260084084046E-08,2.16908254740329E-08,2.17764954105824E-07,2.30905934219042E-06,1.67020979492185E-08,4.2031589372247E-08,3.20636216355842E-08,2.2971924699368E-08,1.16605753714483E-06,2.55966942346777E-07,1.27089982953452E-07,1.02960189533235E-08,3.06743953752098E-07,1.10522576378733E-08,1.69276102673189E-07,6.55048391873345E-09,0
