CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO
90016536,2,CASA DE BOLSA,ACTIMED   ,Ciudad de Mexico,487296.4821,COMPRA                                                                                              ,FEMENINO,46,ENROLADO
90016619,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1071717.3,RETIRO POR PAGO EN VENTANILLA                                                                       ,FEMENINO,88,NO ENROLADO
90017104,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,387701.46,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,72,ENROLADO
90017815,2,CASA DE BOLSA,EFECTIVO,Toluca,4684.68,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,53,NO ENROLADO
90018110,2,CASA DE BOLSA,ACTICOB   ,Toluca,631546.92,VENTA                                                                                               ,MASCULINO,49,ENROLADO
90018201,2,CASA DE BOLSA,ACTIMED   ,Ciudad de Mexico,485965.84,VENTA                                                                                               ,FEMENINO,68,ENROLADO
90018375,2,CASA DE BOLSA,EFECTIVO,Toluca,12330.48,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,47,NO ENROLADO
90022039,2,CASA DE BOLSA,EFECTIVO,Hermosillo,210.56,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,61,ENROLADO
90022567,2,CASA DE BOLSA,ORION     ,Toluca,813094.48,VENTA                                                                                               ,MASCULINO,53,ENROLADO
90022617,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,94630.07,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,43,ENROLADO
90023359,2,CASA DE BOLSA,ACTI500   ,Ciudad de Mexico,205748.3,VENTA                                                                                               ,MASCULINO,74,NO ENROLADO
90024167,2,CASA DE BOLSA,EFECTIVO,Queretaro,542321.58,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,76,NO ENROLADO
90024514,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,293992.15,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,47,NO ENROLADO
90024571,2,CASA DE BOLSA,ACTIMED   ,Ciudad de Mexico,26689.11,VENTA                                                                                               ,FEMENINO,85,NO ENROLADO
90024969,2,CASA DE BOLSA,EFECTIVO,Morelia,3509303.09,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,77,NO ENROLADO
90025370,2,CASA DE BOLSA,EFECTIVO,Toluca,814877.2,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,66,NO ENROLADO
90026063,2,CASA DE BOLSA,EFECTIVO,Toluca,660934.97,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,62,NO ENROLADO
90027749,2,CASA DE BOLSA,EFECTIVO,Toluca,2199660.31,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,61,NO ENROLADO
90031378,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,94838.15,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",MASCULINO,53,ENROLADO
90031568,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1867518.63,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,62,ENROLADO
