NombreINEGI,NombreSSA,Estado,beta,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32
Aguascalientes,AGUASCALIENTES,1,0.05,0,0.00028138,2.32005E-05,4.46163E-06,2.70672E-05,0.000279595,0.000456573,0.000175193,5.08626E-05,0.000109756,4.3724E-05,2.85544E-05,6.395E-05,0.001106187,0.000419096,0.00014188,4.66984E-05,6.33551E-05,0.000196907,2.73647E-05,0.00010113,0.000136228,4.87805E-05,0.000280785,5.20523E-05,0.000118977,1.30874E-05,0.000129685,1.8144E-05,0.000107377,2.70672E-05,0.000902439
Baja California,BAJA CALIFORNIA,2,0.05,0.000189173,0,0.001007733,2.76621E-05,0.000202558,5.02677E-05,0.000991374,0.000212671,0.000316181,0.000513087,0.000683522,0.000349792,0.000257585,0.002339679,0.00107912,0.00091166,0.00024182,0.001008626,0.000383403,0.000645152,0.000461333,0.000178465,8.80428E-05,0.000135931,0.002591017,0.00283135,4.96728E-05,0.000182035,0.000116597,0.000488102,6.98989E-05,0.000267698
Baja California Sur,BAJA CALIFORNIA SUR,3,0.05,2.8257E-05,0.001159131,0,8.32838E-06,2.64723E-05,0.000103212,0.000274836,6.63296E-05,4.1047E-05,0.000125521,0.000106187,0.000208507,3.27186E-05,0.000524093,0.000174301,0.000113028,4.58061E-05,0.000120167,8.53659E-05,0.000144557,5.53242E-05,4.43189E-05,5.05651E-05,2.11184E-05,5.35396E-06,3.86675E-06,1.10054E-05,4.8483E-05,2.40928E-05,0.000112731,2.08209E-05,2.73647E-05
Campeche,CAMPECHE,4,0.05,9.2207E-06,0.000105294,2.08209E-05,0,0.000294765,0.000149018,0.000292683,6.15705E-05,2.23081E-05,1.69542E-05,4.72933E-05,4.52112E-05,2.43902E-05,8.4771E-05,0.000223676,9.7561E-05,2.91493E-05,1.60619E-05,0.000110648,0.000115705,0.000141285,2.91493E-05,0.002158834,3.98572E-05,3.0934E-05,4.8483E-05,0.001085961,0.000280785,2.32005E-05,0.00101279,0.001843248,2.26056E-05
Chiapas,CHIAPAS,5,0.05,5.97858E-05,0.002676086,0.000240631,0.000988697,0,0.001022011,0.002191553,0.000313206,0.000132362,5.68114E-05,0.000208804,0.000256098,0.00016508,7.55503E-05,0.002680547,0.000290006,0.000290006,0.000181737,0.000515467,0.001652885,0.000970553,0.000211184,0.003044616,0.000100833,0.000205235,0.000492861,0.002987507,0.000994349,0.000127603,0.002012493,0.000647531,7.28733E-05
Chihuahua,CHIHUAHUA,6,0.05,0.000246282,0.000671624,0.000127603,0.000286139,8.71505E-05,0,0.000751338,0.00219185,5.14575E-05,0.002190958,0.000343843,9.33968E-05,0.000222487,0.000622844,0.000635039,0.000176086,0.000110351,0.000116895,8.32838E-06,0.000111243,0.000267698,0.000203748,0.000101428,0.000197501,0.000113623,0.001479774,5.53242E-05,0.000365259,4.87805E-05,0.000331053,6.21654E-05,0.000662701
Ciudad de Mexico,CIUDAD DE MÃ‰XICO,7,0.05,0.002675491,0.003591612,0.000798037,0.000536585,0.002109756,0.001822427,0,0.001219215,0.000637418,4.96728E-05,0.006369423,0.003490779,0.007936942,0.005400654,0.133416419,0.005481261,0.007511303,0.00046044,0.002584474,0.00505116,0.008778703,0.006969363,0.003717728,0.002157049,0.000873587,0.000851279,0.001182629,0.000226353,0.002678763,0.00852439,0.001720999,0.000789411
Coahuila de Zaragoza,COAHUILA,8,0.05,0.000219512,0.000352171,0.000103212,3.48007E-05,7.28733E-05,0.005257287,0.000461927,0,4.96728E-05,0.003516657,0.000457168,6.69244E-05,0.000100238,0.000463117,0.000610648,0.000172219,0.000107079,6.45449E-05,0.004175788,7.61452E-05,0.000233492,0.000192742,8.56633E-05,0.000391434,0.000173409,0.000189768,5.116E-05,0.001779298,3.30161E-05,0.000270375,4.28316E-05,0.000596669
Colima,COLIMA,9,0.05,7.34682E-05,0.000823319,6.21654E-05,1.57644E-05,4.46163E-05,6.90065E-05,0.000245687,6.6627E-05,0,3.36109E-05,0.000178168,0.000139798,5.23498E-05,0.002121356,0.000220999,0.000751041,5.50268E-05,0.000164783,8.80428E-05,7.52528E-05,6.09756E-05,7.58477E-05,5.6514E-05,4.01547E-05,0.000118679,0.000111541,1.60619E-05,0.00017906,1.93337E-05,0.00016508,2.26056E-05,5.56217E-05
Durango,DURANGO,10,0.05,0.000195717,0.001502677,0.000200773,9.69661E-05,3.71802E-05,0.008218025,0.000286139,0.002956871,3.18263E-05,0,0.000183819,5.17549E-05,7.10886E-05,0.000415824,0.000265616,0.000112731,4.49137E-05,0.000177275,0.000724866,4.07496E-05,7.07912E-05,0.000121356,5.6514E-05,0.000123141,0.001693932,0.000367638,3.5693E-05,0.000470553,1.57644E-05,0.00013028,1.36823E-05,6.36526E-05
Guanajuato,GUANAJUATO,11,0.05,0.000630874,0.001881916,0.000173111,4.6401E-05,0.000166865,0.000511898,0.001947948,0.000414634,0.000187983,0.000148721,0,0.000177275,0.000379833,0.002314694,0.002549375,0.002322725,0.000212374,0.000254015,7.46579E-05,0.000129685,0.00037329,0.002870613,0.000159131,0.000935455,0.000411362,0.000409578,6.72219E-05,0.000954194,6.81142E-05,0.000517847,9.36942E-05,0.000303093
Guerrero,GUERRERO,12,0.05,8.62582E-05,0.003196907,0.002215645,6.12731E-05,0.000216835,0.000486913,0.003615407,0.000188281,0.000651695,6.63296E-05,0.000381321,0,0.000272159,0.002081797,0.000437537,0.003634444,0.005259072,0.000624331,0.000272457,0.0009884,0.000843546,0.000266211,0.001255503,0.000147829,0.007915229,0.000947055,8.83403E-05,0.000449435,9.66686E-05,0.000696312,8.35812E-05,6.30577E-05
Hidalgo,HIDALGO,13,0.05,0.000204938,0.000769185,9.19096E-05,4.25342E-05,9.87507E-05,0.00042088,0.000491374,0.0002326,6.87091E-05,6.33551E-05,5.05651E-06,0.000196609,0,0.000847115,0.000748067,0.00031856,0.000317371,5.59191E-05,0.000812612,0.000189471,9.66686E-05,0.001214456,0.000167162,0.000434563,0.000200773,0.000101725,0.000106187,7.88221E-05,0.000483046,0.001116002,5.85961E-05,8.92326E-05
Jalisco,JALISCO,14,0.05,0.00210351,0.000578525,0.0008605,8.2094E-05,0.000359607,0.000906306,0.002722487,0.000674896,0.003568709,0.000436347,0.002597858,5.80012E-05,0.000365259,0,0.002582094,0.003558299,0.000378049,0.003774242,0.001131172,0.000355443,0.000540452,0.000677275,0.000544914,0.000823617,0.001382808,0.001123438,0.000253718,0.000798929,9.54789E-05,9.39917E-05,0.000199584,2.23081E-05
Mexico,Mexico,15,0.05,0.00162671,0.003196014,7.07912E-05,0.000269185,0.001489292,0.001478584,0.051714753,9.33968E-05,0.000379536,0.000411362,0.005602915,0.002860797,0.009042832,0.003885485,0,0.000506246,0.004942296,0.000394706,0.001827186,4.28316E-05,0.007386972,0.005224866,0.002005057,0.001747769,0.000580904,0.000519334,0.00070345,0.000174301,0.000236764,0.006670732,0.000762344,0.000746877
Michoacan de Ocampo,MICHOACAN,16,0.05,0.000303688,0.004257287,0.000264426,8.62582E-05,0.000161214,0.000439917,0.003367936,0.000309042,0.001484533,0.00014188,0.002782867,0.001357228,0.000317965,0.00532094,0.004856633,0,0.000554729,0.000627305,0.000554729,0.000251636,0.000382808,0.000926532,0.000169244,0.000282867,0.00050238,0.000578822,0.000121059,0.000586258,8.74479E-05,0.00055235,8.74479E-05,0.000156752
Morelos,MORELOS,17,0.05,0.000123141,0.000756395,9.69661E-05,4.69958E-05,0.000137121,0.00017906,0.002802796,0.000136526,4.87805E-05,4.34265E-05,0.000315586,0.001977692,0.000235574,0.000459845,0.002680845,0.000421773,0,0.000108566,0.000226651,3.65854E-05,0.001178168,0.000288221,3.36109E-05,0.000114218,0.000164188,0.000127305,7.9417E-05,0.000198096,0.0001163,0.000567519,7.73349E-05,0.000158834
Nayarit,NAYARIT,18,0.05,7.674E-05,0.003678465,0.000250744,9.51814E-06,0.000128792,0.000132064,0.000229328,6.15705E-05,0.00015348,0.000135931,0.000184711,0.000120167,5.59191E-05,0.003839381,0.000238251,0.000298632,5.23498E-05,0,9.36942E-05,4.75907E-05,5.26472E-05,7.70375E-05,4.07496E-05,6.75193E-05,0.0001047,0.000708209,3.59905E-05,0.000101725,1.10054E-05,0.000135336,1.8144E-05,0.000129387
