"time","s_Sistema1","e_Sistema1","is_Sistema1","ia_Sistema1","r_Sistema1","s_Sistema2","e_Sistema2","is_Sistema2","ia_Sistema2","r_Sistema2","s_Sistema3","e_Sistema3","is_Sistema3","ia_Sistema3","r_Sistema3","s_Sistema4","e_Sistema4","is_Sistema4","ia_Sistema4","r_Sistema4","s_Sistema5","e_Sistema5","is_Sistema5","ia_Sistema5","r_Sistema5","s_Sistema6","e_Sistema6","is_Sistema6","ia_Sistema6","r_Sistema6","s_Sistema7","e_Sistema7","is_Sistema7","ia_Sistema7","r_Sistema7","s_Sistema8","e_Sistema8","is_Sistema8","ia_Sistema8","r_Sistema8","s_Sistema9","e_Sistema9","is_Sistema9","ia_Sistema9","r_Sistema9","s_Sistema10","e_Sistema10","is_Sistema10","ia_Sistema10","r_Sistema10","s_Sistema11","e_Sistema11","is_Sistema11","ia_Sistema11","r_Sistema11","s_Sistema12","e_Sistema12","is_Sistema12","ia_Sistema12","r_Sistema12","s_Sistema13","e_Sistema13","is_Sistema13","ia_Sistema13","r_Sistema13","s_Sistema14","e_Sistema14","is_Sistema14","ia_Sistema14","r_Sistema14","s_Sistema15","e_Sistema15","is_Sistema15","ia_Sistema15","r_Sistema15","s_Sistema16","e_Sistema16","is_Sistema16","ia_Sistema16","r_Sistema16","s_Sistema17","e_Sistema17","is_Sistema17","ia_Sistema17","r_Sistema17","s_Sistema18","e_Sistema18","is_Sistema18","ia_Sistema18","r_Sistema18","s_Sistema19","e_Sistema19","is_Sistema19","ia_Sistema19","r_Sistema19","s_Sistema20","e_Sistema20","is_Sistema20","ia_Sistema20","r_Sistema20","s_Sistema21","e_Sistema21","is_Sistema21","ia_Sistema21","r_Sistema21","s_Sistema22","e_Sistema22","is_Sistema22","ia_Sistema22","r_Sistema22","s_Sistema23","e_Sistema23","is_Sistema23","ia_Sistema23","r_Sistema23","s_Sistema24","e_Sistema24","is_Sistema24","ia_Sistema24","r_Sistema24","s_Sistema25","e_Sistema25","is_Sistema25","ia_Sistema25","r_Sistema25","s_Sistema26","e_Sistema26","is_Sistema26","ia_Sistema26","r_Sistema26","s_Sistema27","e_Sistema27","is_Sistema27","ia_Sistema27","r_Sistema27","s_Sistema28","e_Sistema28","is_Sistema28","ia_Sistema28","r_Sistema28","s_Sistema29","e_Sistema29","is_Sistema29","ia_Sistema29","r_Sistema29","s_Sistema30","e_Sistema30","is_Sistema30","ia_Sistema30","r_Sistema30","s_Sistema31","e_Sistema31","is_Sistema31","ia_Sistema31","r_Sistema31","s_Sistema32","e_Sistema32","is_Sistema32","ia_Sistema32","r_Sistema32"
0,0.010693621,0,0,0,0,0.028838966,0,0,0,0,0.005809352,0,0,0,0,0.007482826,0,0,0,0,0.044121325,0,0,0,0,0.031525626,0,0,0,0,0.079989112,1.79e-07,3.58e-07,1.79e-07,0,0.02487884,0,0,0,0,0.005892466,0,0,0,0,0.014932734,0,0,0,0,0.04970828,0,0,0,0,0.030801183,0,0,0,0,0.000241329,0,0,0,0,0.066557516,0,0,0,0,0.139253504,8.94e-08,1.79e-07,8.94e-08,0,0.039529368,0,0,0,0,0.016126814,0,0,0,0,0.009916255,0,0,0,0,0.044027587,0,0,0,0,0.034591522,0,0,0,0,0.052438689,0,0,0,0,0.016527905,0,0,0,0,0.01208116,0,0,0,0,0.023398332,0,0,0,0,0.02549876,0,0,0,0,0.024387159,0,0,0,0,0.0201448,0,0,0,0,0.029821058,0,0,0,0,0.010607377,0,0,0,0,0.068968678,0,0,0,0,0.017712811,0,0,0,0,0.013494776,0,0,0,0
0.2,0.0121218832,0,0.0014282622,0.0014282622,0.0414282622,0.0376787614,0,0.0088397954,0.0088397954,0.0488397954,0.0072590878,0,0.0014497358,0.0014497358,0.0414497358,0.0078010384,0,0.000318212400000002,0.000318212400000002,0.0403182124,0.0416396248,0,0,0,0.0375182998,0.036973902,0,0.005448276,0.005448276,0.045448276,0.05543336023,0,0,0,0.0154442536,0.0249718864,0,9.30464000000021e-05,9.30464000000021e-05,0.0400930464,0.0064806906,0,0.000588224600000001,0.000588224600000001,0.0405882246,0.0133698652,0,0,0,0.0384371312,0.0505677192,0,0.000859439199999998,0.000859439199999998,0.0408594392,0.0263098084,0,0,0,0.0355086254,0.0030976668,0,0.0028563378,0.0028563378,0.0428563378,0.0688471118,0,0.0022895958,0.0022895958,0.0422895958,0.154599133316,0,0.015345811,0.0153457214,0.055345632,0.0378374908,0,0,0,0.0383081228,0.0183133302,0,0.0021865162,0.0021865162,0.0421865162,0.0098498788,0,0,0,0.0399336238,0.047505716,0,0.003478129,0.003478129,0.043478129,0.0299831562,0,0,0,0.0353916342,0.0515871544,0,0,0,0.0391484654,0.0192780562,0,0.0027501512,0.0027501512,0.0427501512,0.016272633,0,0.004191473,0.004191473,0.044191473,0.0223062404,0,0,0,0.0389079084,0.0231919276,0,0,0,0.0376931676,0.0255946818,0,0.0012075228,0.0012075228,0.0412075228,0.0194885116,0,0,0,0.0393437116,0.0354350828,0,0.0056140248,0.0056140248,0.0456140248,0.011029318,0,0.000421941,0.000421941,0.040421941,0.0552141468,0,0,0,0.0262454688,0.0177709924,0,5.81814000000002e-05,5.81814000000002e-05,0.0400581814,0.0121898664,0,0,0,0
0.4,0.0135501454,0,0.0028565244,0.0028565244,0.0828565244,0.0465185568,0,0.0176795908,0.0176795908,0.0976795908,0.0087088236,0,0.0028994716,0.0028994716,0.0828994716,0.0081192508,0,0.000636424800000004,0.000636424800000004,0.0806364248,0.0391579246,0,0,0,0.0750365996,0.042422178,0,0.010896552,0.010896552,0.090896552,0.03087760846,0,0,0,0.0308885072,0.0250649328,0,0.000186092800000004,0.000186092800000004,0.0801860928,0.0070689152,0,0.0011764492,0.0011764492,0.0811764492000001,0.0118069964,0,0,0,0.0768742624,0.0514271584,0,0.0017188784,0.0017188784,0.0817188784,0.0218184338,0,0,0,0.0710172508,0.0059540046,0,0.0057126756,0.0057126756,0.0857126756,0.0711367076,0,0.0045791916,0.0045791916,0.0845791916,0.169944762632,0,0.030691443,0.0306913534,0.110691264,0.0361456136,0,0,0,0.0766162456,0.0204998464,0,0.0043730324,0.0043730324,0.0843730324,0.0097835026,0,0,0,0.0798672476,0.050983845,0,0.006956258,0.006956258,0.086956258,0.0253747904,0,0,0,0.0707832684,0.0507356198,0,0,0,0.0782969308,0.0220282074,0,0.0055003024,0.0055003024,0.0855003024,0.020464106,0,0.008382946,0.008382946,0.088382946,0.0212141488,0,0,0,0.0778158168,0.0208850952,0,0,0,0.0753863352,0.0268022046,0,0.0024150456,0.0024150456,0.0824150456,0.0188322232,0,0,0,0.0786874232,0.0410491076,0,0.0112280496,0.0112280496,0.0912280496,0.011451259,0,0.000843882000000001,0.000843882000000001,0.080843882,0.0414596156,0,0,0,0.0524909376,0.0178291738,0,0.0001163628,0.0001163628,0.0801163628,0.0108849568,0,0,0,0
0.6,0.0149784076,0,0.0042847866,0.0042847866,0.1242847866,0.0553583522,0,0.0265193862,0.0265193862,0.1465193862,0.0101585594,0,0.0043492074,0.0043492074,0.1243492074,0.0084374632,0,0.000954637200000006,0.000954637200000006,0.1209546372,0.0366762244,0,0,0,0.1125548994,0.047870454,0,0.016344828,0.016344828,0.136344828,0.00632185668999993,0,0,0,0.0463327608,0.0251579792,0,0.000279139200000006,0.000279139200000006,0.1202791392,0.0076571398,0,0.0017646738,0.0017646738,0.1217646738,0.0102441276,0,0,0,0.1153113936,0.0522865976,0,0.00257831759999999,0.00257831759999999,0.1225783176,0.0173270592,0,0,0,0.1065258762,0.0088103424,0,0.00856901340000001,0.00856901340000001,0.1285690134,0.0734263034,0,0.00686878740000001,0.00686878740000001,0.1268687874,0.185290391948,0,0.046037075,0.0460369854,0.166036896,0.0344537364,0,0,0,0.1149243684,0.0226863626,0,0.0065595486,0.0065595486,0.1265595486,0.0097171264,0,0,0,0.1198008714,0.054461974,0,0.010434387,0.010434387,0.130434387,0.0207664246,0,0,0,0.1061749026,0.0498840852,0,0,0,0.1174453962,0.0247783586,0,0.0082504536,0.0082504536,0.1282504536,0.024655579,0,0.012574419,0.012574419,0.132574419,0.0201220572,0,0,0,0.1167237252,0.0185782628,0,0,0,0.1130795028,0.0280097274,0,0.0036225684,0.0036225684,0.1236225684,0.0181759348,0,0,0,0.1180311348,0.0466631324,0,0.0168420744,0.0168420744,0.1368420744,0.0118732,0,0.001265823,0.001265823,0.121265823,0.0277050844,0,0,0,0.0787364064,0.0178873552,0,0.000174544200000001,0.000174544200000001,0.1201745442,0.0095800472,0,0,0,0
0.8,0.0164066698,0,0.0057130488,0.0057130488,0.1657130488,0.0641981476,0,0.0353591816,0.0353591816,0.1953591816,0.0116082952,0,0.0057989432,0.0057989432,0.1657989432,0.0087556756,0,0.00127284960000001,0.00127284960000001,0.1612728496,0.0341945242,0,0,0,0.1500731992,0.05331873,0,0.021793104,0.021793104,0.181793104,0,0,0,0,0.0617770144,0.0252510256,0,0.000372185600000008,0.000372185600000008,0.1603721856,0.0082453644,0,0.00235289840000001,0.00235289840000001,0.1623528984,0.00868125879999999,0,0,0,0.1537485248,0.0531460368,0,0.00343775679999999,0.00343775679999999,0.1634377568,0.0128356846,0,0,0,0.1420345016,0.0116666802,0,0.0114253512,0.0114253512,0.1714253512,0.0757158992,0,0.00915838320000001,0.00915838320000001,0.1691583832,0.200636021264,0,0.061382707,0.0613826174,0.221382528,0.0327618592,0,0,0,0.1532324912,0.0248728788,0,0.0087460648,0.0087460648,0.1687460648,0.0096507502,0,0,0,0.1597344952,0.057940103,0,0.013912516,0.013912516,0.173912516,0.0161580588,0,0,0,0.1415665368,0.0490325506,0,0,0,0.1565938616,0.0275285098,0,0.0110006048,0.0110006048,0.1710006048,0.028847052,0,0.016765892,0.016765892,0.176765892,0.0190299656,0,0,0,0.1556316336,0.0162714304,0,0,0,0.1507726704,0.0292172502,0,0.0048300912,0.0048300912,0.1648300912,0.0175196464,0,0,0,0.1573748464,0.0522771572,0,0.0224560992,0.0224560992,0.1824560992,0.012295141,0,0.001687764,0.001687764,0.161687764,0.0139505532,0,0,0,0.1049818752,0.0179455366,0,0.000232725600000001,0.000232725600000001,0.1602327256,0.0082751376,0,0,0,0
1,0.017834932,0,0.007141311,0.007141311,0.207141311,0.073037943,0,0.044198977,0.044198977,0.244198977,0.013058031,0,0.007248679,0.007248679,0.207248679,0.009073888,0,0.00159106200000001,0.00159106200000001,0.201591062,0.031712824,0,0,0,0.187591499,0.058767006,0,0.02724138,0.02724138,0.22724138,0,0,0,0,0.077221268,0.025344072,0,0.00046523200000001,0.00046523200000001,0.200465232,0.008833589,0,0.00294112300000001,0.00294112300000001,0.202941123,0.00711838999999999,0,0,0,0.192185656,0.054005476,0,0.00429719599999999,0.00429719599999999,0.204297196,0.00834431000000001,0,0,0,0.177543127,0.014523018,0,0.014281689,0.014281689,0.214281689,0.078005495,0,0.011447979,0.011447979,0.211447979,0.21598165058,0,0.076728339,0.0767282494,0.27672816,0.031069982,0,0,0,0.191540614,0.027059395,0,0.010932581,0.010932581,0.210932581,0.009584374,0,0,0,0.199668119,0.061418232,0,0.017390645,0.017390645,0.217390645,0.011549693,0,0,0,0.176958171,0.048181016,0,0,0,0.195742327,0.030278661,0,0.013750756,0.013750756,0.213750756,0.033038525,0,0.020957365,0.020957365,0.220957365,0.017937874,0,0,0,0.194539542,0.013964598,0,0,0,0.188465838,0.030424773,0,0.006037614,0.006037614,0.206037614,0.016863358,0,0,0,0.196718558,0.057891182,0,0.028070124,0.028070124,0.228070124,0.012717082,0,0.002109705,0.002109705,0.202109705,0.000196022000000024,0,0,0,0.131227344,0.018003718,0,0.000290907000000001,0.000290907000000001,0.200290907,0.006970228,0,0,0,0
1.2,0.0192631942,0,0.0085695732,0.0085695732,0.2485695732,0.0818777384,0,0.0530387724,0.0530387724,0.2930387724,0.0145077668,0,0.0086984148,0.0086984148,0.2486984148,0.0093921004,0,0.00190927440000001,0.00190927440000001,0.2419092744,0.0292311238,0,0,0,0.2251097988,0.064215282,0,0.032689656,0.032689656,0.272689656,0,0,0,0,0.0926655216,0.0254371184,0,0.000558278400000012,0.000558278400000012,0.2405582784,0.0094218136,0,0.00352934760000001,0.00352934760000001,0.2435293476,0.00555552119999999,0,0,0,0.2306227872,0.0548649152,0,0.00515663519999999,0.00515663519999999,0.2451566352,0.00385293540000001,0,0,0,0.2130517524,0.0173793558,0,0.0171380268,0.0171380268,0.2571380268,0.0802950908,0,0.0137375748,0.0137375748,0.2537375748,0.231327279896,0,0.092073971,0.0920738814,0.332073792,0.0293781048,0,0,0,0.2298487368,0.0292459112,0,0.0131190972,0.0131190972,0.2531190972,0.0095179978,0,0,0,0.2396017428,0.064896361,0,0.020868774,0.020868774,0.260868774,0.00694132719999999,0,0,0,0.2123498052,0.0473294814,0,0,0,0.2348907924,0.0330288122,0,0.0165009072,0.0165009072,0.2565009072,0.037229998,0,0.025148838,0.025148838,0.265148838,0.0168457824,0,0,0,0.2334474504,0.0116577656,0,0,0,0.2261590056,0.0316322958,0,0.0072451368,0.0072451368,0.2472451368,0.0162070696,0,0,0,0.2360622696,0.0635052068,0,0.0336841488,0.0336841488,0.2736841488,0.013139023,0,0.002531646,0.002531646,0.242531646,0,0,0,0,0.1574728128,0.0180618994,0,0.000349088400000001,0.000349088400000001,0.2403490884,0.0056653184,0,0,0,0
1.4,0.0206914564,0,0.0099978354,0.0099978354,0.2899978354,0.0907175338,0,0.0618785678,0.0618785678,0.3418785678,0.0159575026,0,0.0101481506,0.0101481506,0.2901481506,0.0097103128,0,0.00222748680000001,0.00222748680000001,0.2822274868,0.0267494236,0,0,0,0.2626280986,0.069663558,0,0.038137932,0.038137932,0.318137932,0,0,0,0,0.1081097752,0.0255301648,0,0.000651324800000014,0.000651324800000014,0.2806513248,0.0100100382,0,0.00411757220000001,0.00411757220000001,0.2841175722,0.00399265239999999,0,0,0,0.2690599184,0.0557243544,0,0.00601607439999998,0.00601607439999998,0.2860160744,0,0,0,0,0.2485603778,0.0202356936,0,0.0199943646,0.0199943646,0.2999943646,0.0825846866,0,0.0160271706,0.0160271706,0.2960271706,0.246672909212,0,0.107419603,0.1074195134,0.387419424,0.0276862276,0,0,0,0.2681568596,0.0314324274,0,0.0153056134,0.0153056134,0.2953056134,0.0094516216,0,0,0,0.2795353666,0.06837449,0,0.024346903,0.024346903,0.304346903,0.00233296139999999,0,0,0,0.2477414394,0.0464779468,0,0,0,0.2740392578,0.0357789634,0,0.0192510584,0.0192510584,0.2992510584,0.041421471,0,0.029340311,0.029340311,0.309340311,0.0157536908,0,0,0,0.2723553588,0.00935093319999999,0,0,0,0.2638521732,0.0328398186,0,0.0084526596,0.0084526596,0.2884526596,0.0155507812,0,0,0,0.2754059812,0.0691192316,0,0.0392981736,0.0392981736,0.3192981736,0.013560964,0,0.002953587,0.002953587,0.282953587,0,0,0,0,0.1837182816,0.0181200808,0,0.000407269800000001,0.000407269800000001,0.2804072698,0.0043604088,0,0,0,0
1.6,0.0221197186,0,0.0114260976,0.0114260976,0.3314260976,0.0995573292,0,0.0707183632,0.0707183632,0.3907183632,0.0174072384,0,0.0115978864,0.0115978864,0.3315978864,0.0100285252,0,0.00254569920000002,0.00254569920000002,0.3225456992,0.0242677234,0,0,0,0.3001463984,0.075111834,0,0.043586208,0.043586208,0.363586208,0,0,0,0,0.1235540288,0.0256232112,0,0.000744371200000016,0.000744371200000016,0.3207443712,0.0105982628,0,0.00470579680000001,0.00470579680000001,0.3247057968,0.00242978359999999,0,0,0,0.3074970496,0.0565837936,0,0.00687551359999998,0.00687551359999998,0.3268755136,0,0,0,0,0.2840690032,0.0230920314,0,0.0228507024,0.0228507024,0.3428507024,0.0848742824,0,0.0183167664,0.0183167664,0.3383167664,0.262018538528,0,0.122765235,0.1227651454,0.442765056,0.0259943504,0,0,0,0.3064649824,0.0336189436,0,0.0174921296,0.0174921296,0.3374921296,0.0093852454,0,0,0,0.3194689904,0.071852619,0,0.027825032,0.027825032,0.347825032,0,0,0,0,0.2831330736,0.0456264122,0,0,0,0.3131877232,0.0385291146,0,0.0220012096,0.0220012096,0.3420012096,0.045612944,0,0.033531784,0.033531784,0.353531784,0.0146615992,0,0,0,0.3112632672,0.00704410079999999,0,0,0,0.3015453408,0.0340473414,0,0.00966018239999999,0.00966018239999999,0.3296601824,0.0148944928,0,0,0,0.3147496928,0.0747332564,0,0.0449121984,0.0449121984,0.3649121984,0.013982905,0,0.003375528,0.003375528,0.323375528,0,0,0,0,0.2099637504,0.0181782622,0,0.000465451200000002,0.000465451200000002,0.3204654512,0.0030554992,0,0,0,0
1.8,0.0235479808,0,0.0128543598,0.0128543598,0.3728543598,0.1083971246,0,0.0795581586,0.0795581586,0.4395581586,0.0188569742,0,0.0130476222,0.0130476222,0.3730476222,0.0103467376,0,0.00286391160000002,0.00286391160000002,0.3628639116,0.0217860232,0,0,0,0.3376646982,0.08056011,0,0.049034484,0.049034484,0.409034484,0,0,0,0,0.1389982824,0.0257162576,0,0.000837417600000018,0.000837417600000018,0.3608374176,0.0111864874,0,0.00529402140000001,0.00529402140000001,0.3652940214,0.000866914799999992,0,0,0,0.3459341808,0.0574432328,0,0.00773495279999998,0.00773495279999998,0.3677349528,0,0,0,0,0.3195776286,0.0259483692,0,0.0257070402,0.0257070402,0.3857070402,0.0871638782,0,0.0206063622,0.0206063622,0.3806063622,0.277364167844,0,0.138110867,0.1381107774,0.498110688,0.0243024732,0,0,0,0.3447731052,0.0358054598,0,0.0196786458,0.0196786458,0.3796786458,0.0093188692,0,0,0,0.3594026142,0.075330748,0,0.031303161,0.031303161,0.391303161,0,0,0,0,0.3185247078,0.0447748776,0,0,0,0.3523361886,0.0412792658,0,0.0247513608,0.0247513608,0.3847513608,0.049804417,0,0.037723257,0.037723257,0.397723257,0.0135695076,0,0,0,0.3501711756,0.00473726839999999,0,0,0,0.3392385084,0.0352548642,0,0.0108677052,0.0108677052,0.3708677052,0.0142382044,0,0,0,0.3540934044,0.0803472812,0,0.0505262232,0.0505262232,0.4105262232,0.014404846,0,0.003797469,0.003797469,0.363797469,0,0,0,0,0.2362092192,0.0182364436,0,0.000523632600000002,0.000523632600000002,0.3605236326,0.0017505896,0,0,0,0
